LBP1,LBP2,LBP3,LBP4,LBP5,LBP6,LBP7,LBP8,LBP9,LBP10,LabelName
0.0174310272284667,0.0379275109695258,0.0129831099356855,0.0914828394542285,0.110116006491555,0.169381499068342,0.0400312556350304,0.088778024884294,0.336298611528521,0.0955701148043517,Ferramentas
0.0187914517317612,0.063448784082535,0.0109801031687546,0.0871039056742815,0.11304347826087,0.160427413411938,0.0438467207074429,0.0917464996315402,0.276639646278556,0.133971997052321,Musica
0.0206521739130435,0.0515886287625418,0.0117892976588629,0.0964046822742475,0.144648829431438,0.169063545150502,0.0391304347826087,0.0787625418060201,0.291973244147157,0.0959866220735786,Telefone
0.0368555000471298,0.073051182957866,0.020831369591856,0.112451691959657,0.15024978791592,0.151569422188708,0.0618342916391743,0.08964087095862,0.170232821189556,0.133283061551513,Internet
0.0187482768127929,0.0504549214226634,0.0119933829611249,0.0851943755169562,0.126964433416046,0.143989523021781,0.0464571271022884,0.0827819134270747,0.32375241246209,0.109663633857182,Mensagem
0.0216515265350727,0.0491769687862851,0.0132504610340824,0.096441499897548,0.13257291168636,0.150604466907998,0.0400928898299297,0.0885868451608497,0.302848166108872,0.104774264053002,Galeria
0.0303461356092935,0.0663031452505137,0.0183341235972815,0.0935672514619883,0.148174490279753,0.148569622253833,0.0611664295874822,0.0881144302196934,0.216848427374743,0.128575944365418,Contactos
0.0350140056022409,0.0619047619047619,0.0247198879551821,0.0864145658263305,0.135434173669468,0.134733893557423,0.0654761904761905,0.0758403361344538,0.256652661064426,0.123809523809524,Galaxy_Store
0.0184959349593496,0.0400406504065041,0.0159891598915989,0.0821815718157182,0.105691056910569,0.151219512195122,0.035230352303523,0.0800813008130081,0.378726287262873,0.0923441734417344,S_Planner
0.0241415504573399,0.053831159094317,0.0177687809266757,0.113135402609087,0.161643424801319,0.159169290748238,0.0440095966411756,0.0930424351476983,0.217873744189534,0.115384615384615,Email
0.018628768964855,0.0444913897957877,0.0131233595800525,0.0933358939888611,0.128032776390756,0.164906215991294,0.045387619230523,0.086870238781128,0.2963958773446,0.108827859932143,Radio
0.026798418972332,0.0543083003952569,0.0108300395256917,0.101897233201581,0.130355731225297,0.171936758893281,0.0451383399209486,0.0882213438735178,0.26,0.110513833992095,Definicoes
0.0257661038148843,0.0613508442776736,0.0182614133833646,0.0863664790494059,0.152908067542214,0.137085678549093,0.0454659161976235,0.0760475297060663,0.28880550343965,0.107942464040025,S_Health
0.0356065573770492,0.0704262295081967,0.0238032786885246,0.0923934426229508,0.157770491803279,0.161770491803279,0.0671475409836066,0.0865573770491803,0.176196721311475,0.128327868852459,Video
0.0250572956455309,0.0550038197097021,0.0149732620320856,0.10366692131398,0.135828877005348,0.159893048128342,0.0444614209320092,0.0868601986249045,0.267914438502674,0.106340718105424,Calculadora
0.0210980036297641,0.0564125831820932,0.0144434361766485,0.0914246823956443,0.13846037507562,0.174379915305505,0.0418179068360557,0.0838626739261948,0.273744706594071,0.104355716878403,S_Voice
0.0412486064659978,0.0642883686361947,0.0246748420661464,0.101746562616128,0.151616499442586,0.151988108509848,0.0605722779635823,0.0857673727238945,0.16893348197696,0.149163879598662,Chrome
